input_id	dealiased_id	standard_id	short_id
doi:10.1101/2021.06.21.449261	doi:10.1101/2021.06.21.449261	doi:10.1101/2021.06.21.449261	nqFvCMhq
https://www.theatlantic.com/technology/archive/2016/02/gender-diversity-journalism/463023	https://www.theatlantic.com/technology/archive/2016/02/gender-diversity-journalism/463023	url:https://www.theatlantic.com/technology/archive/2016/02/gender-diversity-journalism/463023	gud4dlat
https://www.theatlantic.com/science/archive/2018/02/i-spent-two-years-trying-to-fix-the-gender-imbalance-in-my-stories/552404	https://www.theatlantic.com/science/archive/2018/02/i-spent-two-years-trying-to-fix-the-gender-imbalance-in-my-stories/552404	url:https://www.theatlantic.com/science/archive/2018/02/i-spent-two-years-trying-to-fix-the-gender-imbalance-in-my-stories/552404	soMuDIhH
doi:10.1016/j.cels.2021.07.007	doi:10.1016/j.cels.2021.07.007	doi:10.1016/j.cels.2021.07.007	ug7IHrh0
doi:10.1371/journal.pcbi.1003903	doi:10.1371/journal.pcbi.1003903	doi:10.1371/journal.pcbi.1003903	JHzGjxks
http://mediashift.org/2014/11/how-to-ethically-and-responsibly-identify-gender-in-large-datasets	http://mediashift.org/2014/11/how-to-ethically-and-responsibly-identify-gender-in-large-datasets	url:http://mediashift.org/2014/11/how-to-ethically-and-responsibly-identify-gender-in-large-datasets	DrMvJLSb
doi:10.1093/pan/mpw001	doi:10.1093/pan/mpw001	doi:10.1093/pan/mpw001	VGmZCDFw
http://genderize.io	http://genderize.io	url:http://genderize.io	nNQMOkpG
https://aclanthology.org/U14-1021	https://aclanthology.org/U14-1021	url:https://aclanthology.org/U14-1021	E4tow3kM
doi:10.1101/2020.10.12.336230	doi:10.1101/2020.10.12.336230	doi:10.1101/2020.10.12.336230	MpfuFcH2
